<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2005.07.25	12:00:00	1.21770	1.22160	1.21630	1.21980	1270	0	40
2005.07.25	15:00:00	1.21990	1.22100	1.21680	1.21940	1411	0	40
2005.07.25	18:00:00	1.21940	1.22020	1.21720	1.21870	965	0	40
2005.07.25	21:00:00	1.21880	1.21930	1.21770	1.21820	882	0	40
2005.07.26	00:00:00	1.21830	1.21910	1.21780	1.21880	530	0	40
2005.07.26	03:00:00	1.21880	1.21940	1.21800	1.21880	700	0	40
2005.07.26	06:00:00	1.21880	1.21940	1.21680	1.21850	916	0	40
2005.07.26	09:00:00	1.21850	1.22280	1.21750	1.22170	1392	0	40
2005.07.26	12:00:00	1.22200	1.22800	1.22090	1.22790	1722	0	40
2005.07.26	15:00:00	1.22770	1.23160	1.22550	1.22980	1776	0	40
2005.07.26	18:00:00	1.22990	1.23070	1.22840	1.23000	1354	0	40
2005.07.26	21:00:00	1.23020	1.23130	1.22850	1.23050	1055	0	40
2005.07.27	00:00:00	1.23060	1.23150	1.22950	1.23020	825	0	40
2005.07.27	03:00:00	1.23010	1.23220	1.22980	1.23170	941	0	40
2005.07.27	06:00:00	1.23170	1.23220	1.23030	1.23180	1182	0	40
2005.07.27	09:00:00	1.23170	1.23460	1.23120	1.23360	1415	0	40
2005.07.27	12:00:00	1.23370	1.24290	1.23330	1.24160	1912	0	40
2005.07.27	15:00:00	1.24120	1.24190	1.23300	1.23460	1925	0	40
2005.07.27	18:00:00	1.23410	1.23760	1.23220	1.23690	1549	0	40
2005.07.27	21:00:00	1.23650	1.23780	1.23490	1.23640	1131	0	40
2005.07.28	00:00:00	1.23640	1.23770	1.23540	1.23650	910	0	40
2005.07.28	03:00:00	1.23630	1.23790	1.23560	1.23710	898	0	40
2005.07.28	06:00:00	1.23690	1.23750	1.23440	1.23570	1007	0	40
2005.07.28	09:00:00	1.23570	1.23860	1.23360	1.23760	1271	0	40
2005.07.28	12:00:00	1.23750	1.23820	1.23360	1.23570	1409	0	40
2005.07.28	15:00:00	1.23580	1.23820	1.23370	1.23470	1441	0	40
2005.07.28	18:00:00	1.23450	1.23460	1.22960	1.23220	1387	0	40
2005.07.28	21:00:00	1.23230	1.23330	1.22910	1.23120	1300	0	40
2005.07.29	00:00:00	1.23130	1.23170	1.22950	1.23090	979	0	40
2005.07.29	03:00:00	1.23080	1.23150	1.22960	1.23070	909	0	40
2005.07.29	06:00:00	1.23060	1.23190	1.23020	1.23050	870	0	40
2005.07.29	09:00:00	1.23060	1.23130	1.22770	1.22820	1494	0	40
2005.07.29	12:00:00	1.22820	1.23130	1.22590	1.22630	1624	0	40
2005.07.29	15:00:00	1.22680	1.23000	1.22510	1.22590	2021	0	40
2005.07.29	18:00:00	1.22600	1.22690	1.22170	1.22410	1479	0	40
2005.07.29	21:00:00	1.22390	1.22510	1.22290	1.22320	791	0	40
2005.08.01	00:00:00	1.22230	1.22630	1.22230	1.22410	924	0	40
2005.08.01	03:00:00	1.22410	1.22440	1.21880	1.22090	1293	0	40
2005.08.01	06:00:00	1.22040	1.22130	1.21740	1.21850	1270	0	40
2005.08.01	09:00:00	1.21830	1.21990	1.21600	1.21780	1276	0	40
2005.08.01	12:00:00	1.21760	1.21960	1.21580	1.21800	1352	0	40
2005.08.01	15:00:00	1.21790	1.21890	1.21260	1.21370	1594	0	40
2005.08.01	18:00:00	1.21360	1.21400	1.20870	1.21020	1405	0	40
2005.08.01	21:00:00	1.21020	1.21230	1.21010	1.21190	1002	0	40
2005.08.02	00:00:00	1.21190	1.21300	1.21110	1.21220	815	0	40
2005.08.02	03:00:00	1.21220	1.21440	1.21110	1.21390	1087	0	40
2005.08.02	06:00:00	1.21370	1.21610	1.21080	1.21150	1224	0	40
2005.08.02	09:00:00	1.21190	1.21420	1.21070	1.21200	1353	0	40
2005.08.02	12:00:00	1.21230	1.21280	1.20650	1.20870	1483	0	40
2005.08.02	15:00:00	1.20850	1.21280	1.20770	1.21250	1821	0	40
2005.08.02	18:00:00	1.21240	1.21780	1.21160	1.21620	1592	0	40
2005.08.02	21:00:00	1.21610	1.21960	1.21570	1.21910	1129	0	40
2005.08.03	00:00:00	1.21900	1.21920	1.21380	1.21410	1127	0	40
2005.08.03	03:00:00	1.21420	1.21770	1.21410	1.21650	1108	0	40
2005.08.03	06:00:00	1.21660	1.21830	1.21430	1.21440	1149	0	40
2005.08.03	09:00:00	1.21450	1.21510	1.21100	1.21220	1194	0	40
2005.08.03	12:00:00	1.21220	1.21390	1.20930	1.21110	1321	0	40
2005.08.03	15:00:00	1.21120	1.21480	1.21060	1.21300	1640	0	40
2005.08.03	18:00:00	1.21270	1.21610	1.21180	1.21550	1401	0	40
2005.08.03	21:00:00	1.21560	1.21710	1.21520	1.21650	1013	0	40
2005.08.04	00:00:00	1.21680	1.21710	1.21450	1.21490	801	0	40
2005.08.04	03:00:00	1.21480	1.21570	1.21290	1.21420	1335	0	40
