Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2022-01-10,14751.78027,15319.03027,14530.23047,14893.75,14893.75,22631920000,IXIC
2022-01-17,14681.83008,14740.54004,13764.24023,13768.91992,13768.91992,20592260000,IXIC
2022-01-24,13481.5,14002.65039,13094.65039,13770.57031,13770.57031,27810350000,IXIC
2022-01-31,13812.19043,14504.82031,13767.70996,14098.00977,14098.00977,22820160000,IXIC
2022-02-07,14118.79004,14509.55957,13733.16016,13791.15039,13791.15039,23657020000,IXIC
2022-02-14,13768.96973,14163.73047,13465.55957,13548.07031,13548.07031,21653480000,IXIC
2022-02-21,13424.36035,13696.86035,12587.87988,13694.62012,13694.62012,20190530000,IXIC
2022-02-28,13570.83008,13837.58984,13224.98047,13313.44043,13313.44043,27596320000,IXIC
2022-03-07,13328.36035,13353.28027,12670.08008,12843.80957,12843.80957,28456780000,IXIC
2022-03-14,12795.12012,13899.28027,12555.34961,13893.83984,13893.83984,31451040000,IXIC
2022-03-21,13860.38965,14218.75977,13682.54981,14169.29981,14169.29981,26631940000,IXIC
2022-03-28,14177.20996,14646.90039,14101.33984,14261.5,14261.5,26969050000,IXIC
2022-04-04,14304.34961,14534.37988,13689.23047,13711,13711,23948620000,IXIC
2022-04-11,13547.29004,13685.9502,13317.74023,13351.08008,13351.08008,19393150000,IXIC
2022-04-18,13319.38965,13710.7002,12828.01953,12839.29004,12839.29004,23180770000,IXIC
2022-04-25,12749.16992,13011.4502,12315.74023,12334.63965,12334.63965,24487710000,IXIC
2022-05-02,12331.69043,12985.00977,11990.15039,12144.66016,12144.66016,25467710000,IXIC
2022-05-09,11923.03027,11990.61035,11108.75977,11805,11805,30747340000,IXIC
2022-05-16,11727.13965,11988.42969,11035.69043,11354.62012,11354.62012,25560860000,IXIC
2022-05-23,11396.28027,12131.66016,11092.48047,12131.12988,12131.12988,23142860000,IXIC
2022-05-30,12137.54004,12320.12012,11901.42969,12012.73047,12012.73047,19266870000,IXIC
2022-06-06,12200.33008,12245.40039,11328.26953,11340.01953,11340.01953,24215310000,IXIC
2022-06-13,10986.84961,11244.25977,10565.13965,10798.34961,10798.34961,29151970000,IXIC
2022-06-20,10974.04981,11613.23047,10938.05957,11607.62012,11607.62012,25093570000,IXIC
2022-06-27,11661.01953,11677.49023,10850.00977,11127.84961,11127.84961,26490430000,IXIC
2022-07-04,10964.17969,11689.7002,10911.4502,11635.30957,11635.30957,19011360000,IXIC
2022-07-11,11524.49023,11541.09961,11005.92969,11452.41992,11452.41992,21822890000,IXIC
2022-07-18,11561.63965,12093.01953,11322.83984,11834.11035,11834.11035,25029210000,IXIC
2022-07-25,11837.95996,12426.25977,11533.37012,12390.69043,12390.69043,22911390000,IXIC
2022-08-01,12317.95996,12736.19043,12260.48047,12657.54981,12657.54981,25041480000,IXIC
2022-08-08,12703.71973,13047.19043,12438.86035,13047.19043,13047.19043,26139090000,IXIC
2022-08-15,12996.62988,13181.08984,12674.87012,12705.21973,12705.21973,23859110000,IXIC
2022-08-22,12523.16016,12538.54981,12353.73047,12381.57031,12381.57031,4242600000,IXIC
2017-08-21,87.300003,87.300003,82.900002,83.800003,83.800003,4300,HUV
2017-08-28,83,89.5,80.300003,81.099998,81.099998,5080,HUV
2017-09-04,84,89,82.699997,85.300003,85.300003,4480,HUV
2017-09-11,82.199997,82.199997,75.099998,75.199997,75.199997,5590,HUV
2017-09-18,74.5,74.5,71.5,72,72,6310,HUV
2017-09-25,72.199997,74.5,68.699997,68.699997,68.699997,5070,HUV
2017-10-02,67.5,67.5,65.099998,66.300003,66.300003,2500,HUV
2017-10-09,65.5,66.199997,61.5,61.799999,61.799999,1460,HUV
2017-10-16,61.5,63.099998,59.099998,59.200001,59.200001,3000,HUV
2017-10-23,58.900002,67.5,58.900002,59.900002,59.900002,3660,HUV
2017-10-30,60.900002,61.299999,58.799999,58.799999,58.799999,970,HUV
2017-11-06,58.700001,62.5,58.299999,60.700001,60.700001,2180,HUV
2017-11-13,62.200001,64.800003,60.099998,60.400002,60.400002,2640,HUV
2017-11-20,59.900002,59.900002,55,55.799999,55.799999,2570,HUV
2017-11-27,55.299999,63.099998,54.5,57.599998,57.599998,7420,HUV
2017-12-04,55,57.400002,53.099998,53.099998,53.099998,3870,HUV
2017-12-11,52.599998,52.799999,48.900002,49.299999,49.299999,6220,HUV
2017-12-18,48.5,49.299999,47.799999,48.5,48.5,2860,HUV
2017-12-25,47.799999,49,47.799999,49,49,2450,HUV
2018-01-01,48.299999,48.299999,45.5,46.200001,46.200001,2920,HUV
2018-01-08,46.200001,46.799999,44.900002,45.200001,45.200001,2320,HUV
2018-01-15,45.099998,48.5,44.700001,46.799999,46.799999,34700,HUV
2018-01-22,46.799999,49.200001,45.799999,48.400002,48.400002,5050,HUV
2018-01-29,49.599998,58.700001,49.5,57.700001,57.700001,15530,HUV
2018-02-05,61.200001,98.599998,56.5,88.5,88.5,77380,HUV
2018-02-12,85.400002,89,71,73.800003,73.800003,9940,HUV
2018-02-19,76.400002,79,70.900002,71.099998,71.099998,3780,HUV
2018-02-26,69,88.699997,68,79.300003,79.300003,6650,HUV
2018-03-05,81.099998,81.099998,67.5,67.5,67.5,4160,HUV
2018-03-12,68.5,74.099998,68.099998,68.800003,68.800003,4290,HUV
2018-03-19,70.800003,88,70.099998,87.599998,87.599998,12530,HUV
2018-03-26,81.800003,91.699997,81,83.300003,83.300003,7440,HUV
2018-04-02,86.5,94.5,82.400002,87.5,87.5,13560,HUV
2018-04-09,86.599998,88.199997,79.599998,81.800003,81.800003,5360,HUV
2018-04-16,78.199997,78.199997,70.099998,75.300003,75.300003,4210,HUV
2018-04-23,74.400002,80.599998,71.400002,73.800003,73.800003,10900,HUV
2018-04-30,72.099998,77.099998,69.5,70.800003,70.800003,10770,HUV
2018-05-07,70.5,71,63.5,63.5,63.5,5050,HUV
2018-05-14,62.799999,66,60.799999,62.400002,62.400002,7270,HUV
2018-05-21,60.5,63.299999,59.299999,60.5,60.5,6810,HUV
2018-05-28,60.200001,69.5,59.900002,62.400002,62.400002,10820,HUV
2018-06-04,61.099998,61.099998,56.799999,57.299999,57.299999,9530,HUV
2018-06-11,57.599998,57.599998,54.599998,55.799999,55.799999,11750,HUV
2018-06-18,57.900002,61.200001,55,58.5,58.5,27270,HUV
